overview,title
immediately after the events of the desolation of smaug bilbo and the dwarves try to defend erebors mountain of treasure from others who claim it the men of the ruined laketown and the elves of mirkwood meanwhile an army of orcs led by azog the defiler is marching on erebor fueled by the rise of the dark lord sauron dwarves elves and men must unite and the hope for middleearth falls into bilbos hands,the hobbit the battle of the five armies
a former idealistic leader turned corrupt politician is cursed by his grandmother on the eve of the presidential election forcing him to be honest can he win without lies and what will be the conditions,el candidato honesto
a group of young people inadvertently resurrect a seemingly invisible evil,the wailing
after a mysterious leader imposes his law in a brutal system of vertical cells a new arrival battles against a dubious food distribution method,the platform 2
paranormal investigators ed and lorraine warren work to help a family terrorized by a dark presence in their farmhouse forced to confront a powerful entity the warrens find themselves caught in the most terrifying case of their lives,the conjuring
nothing is what it seems when a twisted onenight stand spirals into a serial killers vicious murder spree,strange darling
story about a happily married couple visited by an old friend who ends up stirring the pot by becoming sexually involved with both the husband and the wife,tatsulok tatlo magkasalo
while working underground to fix a water main brooklyn plumbersand brothersmario and luigi are transported down a mysterious pipe and wander into a magical new world but when the brothers are separated mario embarks on an epic quest to find luigi,the super mario bros movie
failed musician jay abandoned his family and now earns a living as head bartender in a trendy london pub every wednesday afternoon a woman comes to his house for graphic almost wordless sex one day jay follows her and learns about her this eventually disrupts their relationship,intimacy
a wife to a blind exfireman whos unable to satisfy his wifes physical needs due to his condition  a young man enters the picture and lures dana to a sinful relationship to satisfy her sexual frustrations,himas
,幼齿花招
remy a resident of paris appreciates good food and has quite a sophisticated palate he would love to become a chef so he can create and enjoy culinary masterpieces to his hearts delight the only problem is remy is a rat when he winds up in the sewer beneath one of paris finest restaurants the rodent gourmet finds himself ideally placed to realize his dream,ratatouille
three years after jurassic world was destroyed isla nublar now sits abandoned when the islands dormant volcano begins roaring to life owen and claire mount a campaign to rescue the remaining dinosaurs from this extinctionlevel event,jurassic world fallen kingdom
when 11yearold riley moves to a new city her emotions team up to help her through the transition joy fear anger disgust and sadness work together but when joy and sadness get lost they must journey through unfamiliar places to get back home,inside out
a cold and mysterious new security guard for a los angeles cash truck company surprises his coworkers when he unleashes precision skills during a heist the crew is left wondering who he is and where he came from soon the marksmans ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score,wrath of man
when a notorious gang of bikers recruits her brother for a heist a former motocross champion must face her deepest fears to keep her family safe,gtmax
with the price on his head ever increasing john wick uncovers a path to defeating the high table but before he can earn his freedom wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes,john wick chapter 4
cars fly trees fight back and a mysterious houseelf comes to warn harry potter at the start of his second year at hogwarts adventure and danger await when bloody writing on a wall announces the chamber of secrets has been opened to save hogwarts will require all of harry ron and hermiones magical abilities and courage,harry potter and the chamber of secrets
wrongfully accused and sent to prison a former basketball star prepares for the national slam dunk competition while finding redemption in himself and in those he loves,slamma jamma
when a new threat capable of destroying the entire planet emerges optimus prime and the autobots must team up with a powerful faction known as the maximals with the fate of humanity hanging in the balance humans noah and elena will do whatever it takes to help the transformers as they engage in the ultimate battle to save earth,transformers rise of the beasts
when a remote village is plagued by a deadly curse one brother must fight to save his family from a terrifying supernatural threat,death whisperer
simba idolizes his father king mufasa and takes to heart his own royal destiny but not everyone in the kingdom celebrates the new cubs arrival scar mufasas brotherand former heir to the thronehas plans of his own the battle for pride rock is ravaged with betrayal tragedy and drama ultimately resulting in simbas exile with help from a curious pair of newfound friends simba will have to figure out how to grow up and take back what is rightfully his,the lion king
a burgerloving hit man his philosophical partner a drugaddled gangsters moll and a washedup boxer converge in this sprawling comedic crime caper their adventures unfurl in three stories that ingeniously trip back and forth in time,pulp fiction
due to sudden deteriorating weather conditions visibility on the airport bridge is severely impaired leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions amidst the chaos the canine subjects echo from the military experiment project silence who were being transported in secret break free and all human survivors become targets of relentless attacks,project silence
young lion prince simba eager to one day become king of the pride lands grows up under the watchful eye of his father mufasa all the while his villainous uncle scar conspires to take the throne for himself amid betrayal and tragedy simba must confront his past and find his rightful place in the circle of life,the lion king
cobb a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible inception the implantation of another persons idea into a targets subconscious,inception
the eclectic residents of a small picturesque island town must navigate a sensational murder and the discovery of a million dollars leading to a series of increasingly bad decisions which upend the oncepeaceful community,greedy people
after a migrating duck family alights on their pond with thrilling tales of farflung places the mallard family embarks on a family road trip from new england to new york city to tropical jamaica,migration
a biopic of maratha warrior chhatrapati sambhaji maharaj,chhaava
prostitutes in burnt out tokyo ghetto of postwwii japan peddle their flesh and save onethird of their money for a proposed dancehall to be named paradise the hookers live in a bombedout building but they accept the precarious situation with typical resolve,carmen 1945
a special bond develops between plussized inflatable robot baymax and prodigy hiro hamada who team up with a group of friends to form a band of hightech heroes,big hero 6
after discovering she can see everyones imaginary friends a girl embarks on a magical adventure to reconnect forgotten imaginary friends with their kids,if
criminal mastermind mason is about to execute the score of a lifetime when his lover and key member of his crew decker takes the team down and reveals shes an undercover interpol agent heartbroken mason escapes and retires from the life of crime until his younger brother shawn is out of his league taking on a big bank heist all on his own mason has no choice left but to come to the rescue while interpol brings decker in hoping to unnerve him before the swat teams storm the bank mason must use every tool in his arsenal to not only escape with the prize but also the love of his life,cash out
claire is approached by the father of her murdered childhood friend to help investigate the haunted moor he believes is his sons final resting place,the moor
ethan hunt and his imf team embark on their most dangerous mission yet to track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands with control of the future and the worlds fate at stake and dark forces from ethans past closing in a deadly race around the globe begins confronted by a mysterious allpowerful enemy ethan must consider that nothing can matter more than his missionnot even the lives of those he cares about most,mission impossible  dead reckoning part one
after the devastating events of avengers infinity war the universe is in ruins due to the efforts of the mad titan thanos with the help of remaining allies the avengers must assemble once more in order to undo thanos actions and restore order to the universe once and for all no matter what consequences may be in store,avengers endgame
after port royal is attacked and pillaged by a mysterious pirate crew capturing the governors daughter elizabeth swann in the process william turner asks freewilling pirate jack sparrow to help him locate the crews shipthe black pearlso that he can rescue the woman he loves,pirates of the caribbean the curse of the black pearl
fbi agent lee harker is a gifted new recruit assigned to the unsolved case of an elusive serial killer as the case takes complex turns unearthing evidence of the occult harker discovers a personal connection to the merciless killer and must race against time to stop him before he claims the lives of another innocent family,longlegs
set in the 22nd century the matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth,the matrix
when his fiancée dumps him at the altar for her ex a young man is left with no alternative but to go on his romantic honeymoon with his mother,honeymoon crasher
a sensual suspense that tells the story of a female teacher and a young student locked in a closed room in the middle of summer,female teacher closing the door
buster moon dreams up a starstudded spectacle set to michael jacksons thriller in this animated short featuring characters from the hit sing films,sing thriller
a young couple is compelled to leave their christian missionary station in the kalahari desert after being threatened with death by an extremist militant gang after crashing their aircraft they must battle man and beast for their lives,prey
led by woody andys toys live happily in his room until andys birthday brings buzz lightyear onto the scene afraid of losing his place in andys heart woody plots against buzz but when circumstances separate buzz and woody from their owner the duo eventually learns to put aside their differences,toy story
top level cia agent avery graves is blackmailed by terrorists into betraying her own country to save her kidnapped husband cut off from her team she turns to her underworld contacts to survive and help locate the coveted intelligence that the kidnappers want,canary black
an apocalyptic story set in the furthest reaches of our planet in a stark desert landscape where humanity is broken and most everyone is crazed fighting for the necessities of life within this world exist two rebels on the run who just might be able to restore order,mad max fury road
in the continuing saga of the corleone crime family a young vito corleone grows up in sicily and in 1910s new york in the 1950s michael corleone attempts to expand the family business into las vegas hollywood and cuba,the godfather part ii
a recap of death note episodes 126 with new footage when rogue shinigami ryuk leaves his death note in the human world he has no idea how far the one who finds it will take his newfound power with the death note in hand brilliant high school student light yagami vows to rid the world of evil,death note relight 1 visions of a god
as new york city is invaded by alien creatures who hunt by sound a woman named sam fights to survive with her cat,a quiet place day one
in the near future a group of war journalists attempt to survive while reporting the truth as the united states stands on the brink of civil war,civil war
in remote wilderness a group of friends who stumble upon a duffle bag full of cash after accidentally killing an unknown woman with their car in attempt to keep the money to themselves they decided to hide the body however this leads them to a much more bigger problem when the mysterious owner of the bag comes looking for them,the bad shepherd
20 years after the events of transmorphers a newer more advanced species of alien robot descends on a rebuilt earth threatening once again to destroy the planet,transmorphers mech beasts
believing they have left behind shadowy figures from their past newlyweds christian and ana fully embrace an inextricable connection and shared life of luxury but just as she steps into her role as mrs grey and he relaxes into an unfamiliar stability new threats could jeopardize their happy ending before it even begins,fifty shades freed
nicolás and antonia lifelong friends feel stuck as they watch their peers find success and stability tired of attending countless weddings that highlight their own struggles they hatch a wild plan pretend to be in love get married and throw a lavish wedding to cash in on the gifts antonia plans to ditch nicolás at the altar believing the scandal will let them keep the money they see this as their ticket to finally funding their dreams,mesa de regalos
five years after the events of jurassic world dominion covert operations expert zora bennett is contracted to lead a skilled team on a topsecret mission to secure genetic material from the worlds three most massive dinosaurs when zoras operation intersects with a civilian family whose boating expedition was capsized they all find themselves stranded on an island where they come facetoface with a sinister shocking discovery thats been hidden from the world for decades,jurassic world rebirth
year three at hogwarts means new fun and challenges as harry learns the delicate art of approaching a hippogriff transforming shapeshifting boggarts into hilarity and even turning back time but the term also brings danger soulsucking dementors hover over the school an ally of the accursed hewhocannotbenamed lurks within the castle walls and fearsome wizard sirius black escapes azkaban and harry will confront them all,harry potter and the prisoner of azkaban
as the son of a viking leader on the cusp of manhood shy hiccup horrendous haddock iii faces a rite of passage he must kill a dragon to prove his warrior mettle but after downing a feared dragon he realizes that he no longer wants to destroy it and instead befriends the beast  which he names toothless  much to the chagrin of his warrior father,how to train your dragon
investigative journalist eddie brock attempts a comeback following a scandal but accidentally becomes the host of venom a violent super powerful alien symbiote soon he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own,venom
with his wife out sick a struggling father brings home a lifelike ai only to have his selfaware new help want everything her new family has to offer like the affection of her owner and shell kill to get it,subservience
on the rugged isle of berk where vikings and dragons have been bitter enemies for generations hiccup stands apart defying centuries of tradition when he befriends toothless a feared night fury dragon their unlikely bond reveals the true nature of dragons challenging the very foundations of viking society,how to train your dragon
laura and massimos relationship hangs in the balance as they try to overcome trust issues while a tenacious nacho works to push them apart,the next 365 days
pilots taein and gyusik are set to fly to gimpo under the guidance of flight attendant oksoon passengers are busy boarding however shortly after takeoff a homemade bomb explodes turning the cabin into chaos,hijack 1971
after the death of emperor marcus aurelius his devious son takes power and demotes maximus one of romes most capable generals who marcus preferred eventually maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences,gladiator
a tickingtimebomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy their concept catches on with underground fight clubs forming in every town until an eccentric gets in the way and ignites an outofcontrol spiral toward oblivion,fight club
it aint easy bein green  especially if youre a likable albeit smelly ogre named shrek on a mission to retrieve a gorgeous princess from the clutches of a firebreathing dragon shrek teams up with an unlikely compatriot  a wisecracking donkey,shrek
thirty years after the events of the first film a new blade runner lapd officer k unearths a longburied secret that has the potential to plunge whats left of society into chaos ks discovery leads him on a quest to find rick deckard a former lapd blade runner who has been missing for 30 years,blade runner 2049
an unexpected affair quickly escalates into a heartstopping reality for two women whose passionate connection changes their lives forever,below her mouth
mccall believes he has put his mysterious past behind him and dedicated himself to beginning a new quiet life but when he meets teri a young girl under the control of ultraviolent russian gangsters he cant stand idly by  he has to help her armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless mccall comes out of his selfimposed retirement and finds his desire for justice reawakened if someone has a problem if the odds are stacked against them if they have nowhere else to turn mccall will help he is the equalizer,the equalizer
when the disappearance of children and bloody murders multiply in a small mountain village an old legend shrouded in sulphur reappears commander guardiano and captain of the gendarmerie de rolan are forced to join forces to uncover the truth,the soul eater
chef and owner sina bora faces personal and professional challenges on one of his restaurants busiest nights his fathers emergency surgery staff tensions and his former mentor renzos plans to take over push sina to make tough decisions,cooked
in the 22nd century a paraplegic marine is dispatched to the moon pandora on a unique mission but becomes torn between following orders and protecting an alien civilization,avatar
jackie and clotaire grow up at the same high school around the same harbour docks she studies he bunks off their paths cross and they fall madly in love life tries its best to keep them apart but they are like two halves of the same heart,beating hearts
a live broadcast of a latenight talk show in 1977 goes horribly wrong unleashing evil into the nations living rooms,late night with the devil
a gritty crime saga which follows the lives of an elite unit of the la county sheriffs dept and the states most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the federal reserve bank,den of thieves
when a zombie virus pushes korea into a state of emergency those trapped on an express train to busan must fight for their own survival,train to busan
in the fourth installment of the fighting franchise boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for when he finds out the wife of the man he accidentally killed is in trouble boyka offers to fight in a series of impossible battles to free her from a life of servitude,boyka undisputed iv
mismatched cousins david and benji reunite for a tour through poland to honor their beloved grandmother the adventure takes a turn when the pairs old tensions resurface against the backdrop of their family history,a real pain
when a young american woman is sent to rome to begin a life of service to the church she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate,the first omen
puss in boots discovers that his passion for adventure has taken its toll he has burned through eight of his nine lives leaving him with only one life left puss sets out on an epic journey to find the mythical last wish and restore his nine lives,puss in boots the last wish
a reckless night of indiscretion and lust leads a woman into the dark world of blackmail and murder when revealing photos of her sexual tryst unexpectedly surface katy is forced to submit to whatever her tormentors desire,kiss and kill
when bella swan moves to a small town in the pacific northwest she falls in love with edward cullen a mysterious classmate who reveals himself to be a 108yearold vampire despite edwards repeated cautions bella cant stay away from him a fatal move that endangers her own life,twilight
the story of j robert oppenheimers role in the development of the atomic bomb during world war ii,oppenheimer
come share a toast in the front mans lair  but tread carefully for youre playing with fire,squid game fireplace
lovable sulley and his wisecracking sidekick mike wazowski are the top scare team at monsters inc the screamprocessing factory in monstropolis when a little girl named boo wanders into their world its the monsters who are scared silly and its up to sulley and mike to keep her out of sight and get her back home,monsters inc
an innocent young man jack goes on an epic quest to rescue his sister lula after she has been kidnapped by the violent killer cut throat bill and her gang to save her jack enlists the help of a crafty bounty hunter named reginald jones a gravedigging alcoholic son of an exslave and a streetsmart prostitute the gang tracks cut throat bill into the deadly nomans land known as the big thicket  a place where blood and chaos reign,the thicket
set in han imperial china the plot follows the adventures of enslaved girl ping with ancient dragon long danzi dragons had been banished from the kingdom ping an orphan finds one of the last remaining dragon eggs palace guards force ping to run away in order to return the dragon egg to the ocean and save all dragons from extinction ping discovers that she is a true dragonkeeper,dragonkeeper
following the death of the leigh family matriarch annie and her children uncover disturbing secrets about their heritage their daily lives are not only impacted but they also become entangled in a chilling fate from which they cannot escape driving them to the brink of madness,hereditary
nemo an adventurous young clownfish is unexpectedly taken from his great barrier reef home to a dentists office aquarium its up to his worrisome father marlin and a friendly but forgetful fish dory to bring nemo home  meeting vegetarian sharks surfer dude turtles hypnotic jellyfish hungry seagulls and more along the way,finding nemo
one mans campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as beekeepers,the beekeeper
a group of criminals kidnap a teenage ballet dancer the daughter of a notorious gang leader in order to obtain a ransom of 50 million but over time they discover that she is not just an ordinary girl after the kidnappers begin to diminish one by one they discover to their increasing horror that they are locked inside with no normal little girl,abigail
driving home to her secluded estate after meeting at a local bar a player out to score thinks his beautiful mysterious date will be another casual hookup while getting acquainted their flirtation turns playful sexy and sinister hoping to get lucky his luck may have just run out,house of darkness
all unemployed kitaeks family takes peculiar interest in the wealthy and glamorous parks for their livelihood until they get entangled in an unexpected incident,parasite
abby russell a beautiful dedicated nurse with a sinister side has a secret life in which she targets and punishes dishonest men,nurse 3d
when his daughter decides to buy a crumbling tuscan villa eric rushes to italy to talk her out of it  and instead finds beauty romance and new purpose,la dolce villa
an upandcoming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together in a decadespanning deeply moving romance,we live in time
struggling to find his place in the world while juggling school and family brooklyn teenager miles morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only spiderman while wrestling with the implications of his new abilities miles discovers a super collider created by the madman wilson kingpin fisk causing others from across the spiderverse to be inadvertently transported to his dimension,spiderman into the spiderverse
animal adventures save the forest portrays softie and her friends as they fight to save their home from a garbage invasion by an automated factory this 3d animated film highlights adventure friendship and environmental protection,animal adventures save the forest
mickey barnes has found himself in the extraordinary circumstance of working for an employer who demands the ultimate commitment to the job to die for a living,mickey 17
wandering her rambling old house in her boring new town 11yearold coraline discovers a hidden door to a strangely idealized version of her life in order to stay in the fantasy she must make a frighteningly real sacrifice,coraline
captain jack sparrow races to recover the heart of davy jones to avoid enslaving his soul to jones service as other friends and foes seek the heart for their own agenda as well,pirates of the caribbean dead mans chest
with his wifes disappearance having become the focus of an intense media circus a man sees the spotlight turned on him when its suspected that he may not be innocent,gone girl
in postwar japan godzilla brings new devastation to an already scorched landscape with no military intervention or government help in sight the survivors must join together in the face of despair and fight back against an unrelenting horror,godzilla minus one
after twelve years of playing his favorite mmorpg game momonga logs in for the last time only to find himself transported into its world playing it indefinitely throughout his adventures his avatar ascends to the title of sorcerer king ains ooal gown once prosperous but now on the brink of ruin the sacred kingdom enjoyed years of peace after construction of an enormous wall protecting them from neighboring invasions but one day this comes to an end when the demon emperor jaldabaoth arrives with an army of villainous demihumans fearing invasion of their own lands the neighboring territory of the slane theocracy is forced to beg their enemies at the sorcerer kingdom for help heeding the call momonga now known as the sorcerer king ains ooal gown rallies the sorcerer kingdom and its undead army to join the fight alongside the sacred kingdom and the slane theocracy in hopes to defeat the demon emperor,overlord the sacred kingdom
two working class youtubers in the making enter an abandoned mansion to get their basketball back and get lost inside while pranking each other they record their quick adventure with their phones for their audience and tweak it with a fake phantom appearance to attract more followers to their youtube channel when uploaded the video goes viral so they start a challenge if the video reaches a certain number of views they will enter the house again at night alone totally unprotected as fans react positively they will do as promised not only to discover and unveil the true nature of the place and their inhabitants but to realize they might not be among the living anymore which opens a question  how far would you go to be famous,do not enter
when harry potters name emerges from the goblet of fire he becomes a competitor in a grueling battle for glory among three wizarding schoolsthe triwizard tournament but since harry never submitted his name for the tournament who did now harry must confront a deadly dragon fierce water demons and an enchanted maze only to find himself in the cruel grasp of he who must not be named,harry potter and the goblet of fire
when maja brings her fiancé home her traditional parents must overcome their cultural biases amidst a crisis at their dairy farm can love find a way,death before the wedding
go behind the scenes and witness how the squid gameinspired reality show transformed from a scripted drama to a cutthroat nailbiting competition,making squid game the challenge
will turner and elizabeth swann join forces with the revived captain barbossa to free jack sparrow from davy jones locker the group must navigate dangerous waters confront many foes and ultimately choose sides in a battle wherein piracy itself hangs in the balance,pirates of the caribbean at worlds end
after being brutally murdered 14yearold susie salmon watches from heaven over her griefstricken family  and her killer as she observes their daily lives she must balance her thirst for revenge with her desire for her family to heal,the lovely bones
in a society devastated by the effects of an allout war between heroes and villains a mysterious giant fortress suddenly appears engulfing towns and people one after another then a man reminiscent of all might the symbol of peace stands in front of izuku and his friends,my hero academia youre next
the film is about rüzgar and hayal who have completely different lives and cultures as well as their past that never leaves them alone and how they hold on to love,aşk sadece bir an
despite his familys baffling generationsold ban on music miguel dreams of becoming an accomplished musician like his idol ernesto de la cruz desperate to prove his talent miguel finds himself in the stunning and colorful land of the dead following a mysterious chain of events along the way he meets charming trickster hector and together they set off on an extraordinary journey to unlock the real story behind miguels family history,coco
dominique a welltrained assassin flees from her troubled past in an attempt to begin a new life in south america however she soon finds herself in a town plagued with violence and corruption facing brutal attacks from the police and mafia dominique must decide whether to protect herself or an innocent family that has taken her in,dominique
peter quill still reeling from the loss of gamora must rally his team around him to defend the universe along with protecting one of their own a mission that if not completed successfully could quite possibly lead to the end of the guardians as we know them,guardians of the galaxy vol 3
in the last months of world war ii as the allies make their final push in the european theatre a battlehardened us army sergeant named wardaddy commands a sherman tank called fury and its fiveman crew on a deadly mission behind enemy lines outnumbered and outgunned wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of nazi germany,fury
in the midst of a violent invasion of earth by unknown alien forces photojournalist wakatsuki tetsuya comes across a scantilyclad alien woman cutting a swath of death through the terran ranks with her sword after a chaotic struggle tetsuya is knocked unconscious only to awaken aboard her starship to his surprise she turns out to be kahm the invaders princess  and she has picked tetsuya for a starring role in her upcoming wedding as the groom,outlanders
following the events of captain america civil war peter parker with the help of his mentor tony stark tries to balance his life as an ordinary high school student in queens new york city with fighting crime as his superhero alter ego spiderman as a new threat the vulture emerges,spiderman homecoming
a bored and domesticated shrek pacts with dealmaker rumpelstiltskin to get back to feeling like a real ogre again but when hes duped and sent to a twisted version of far far awaywhere rumpelstiltskin is king ogres are hunted and he and fiona have never methe sets out to restore his world and reclaim his true love,shrek forever after
the true story of how businessman oskar schindler saved over a thousand jewish lives from the nazis while they worked as slaves in his factory during world war ii,schindlers list
tessa young is a dedicated student dutiful daughter and loyal girlfriend to her high school sweetheart entering her first semester of college tessas guarded world opens up when she meets hardin scott a mysterious and brooding rebel who makes her question all she thought she knew about herself  and what she wants out of life,after
as a math savant uncooks the books for a new client the treasury department closes in on his activities and the body count starts to rise,the accountant
antonia is a single mother who works as a hotel maid in berlin a normal hot summer day takes a dramatic turn when she crosses paths with a particular guest of the hotel famous blind portrait painter julius pass,hotel desire
a man with a low iq has accomplished great things in his life and been present during significant historic eventsin each case far exceeding what anyone imagined he could do but despite all he has achieved his one true love eludes him,forrest gump
when three friends finally come to after a raucous night of bachelorparty revelry they find a baby in the closet and a tiger in the bathroom but they cant seem to locate their best friend doug  whos supposed to be tying the knot launching a frantic search for doug the trio perseveres through a nasty hangover to try to make it to the church on time,the hangover
when an american family is invited to spend the weekend at the idyllic country estate of a charming british family they befriended on vacation what begins as a dream holiday soon warps into a snarled psychological nightmare,speak no evil
five months following the murders christopher robin struggles to maintain a regular life while dealing with ptsd however deep within the 100acrewood a destructive rage grows as pooh piglet owl and tigger find their home and their lives endangered after their existence is revealed,winniethepooh blood and honey 2
an upcoming film in the marvel cinematic universes mcu sixth phase and part of the multiverse saga plot tba,avengers doomsday
harry ron and hermione continue their quest to vanquish the evil voldemort once and for all just as things begin to look hopeless for the young wizards harry discovers a trio of magical objects that endow him with powers to rival voldemorts formidable skills,harry potter and the deathly hallows part 2
doctor strange with the help of mystical allies both old and new traverses the mindbending and dangerous alternate realities of the multiverse to confront a mysterious new adversary,doctor strange in the multiverse of madness
returning to her home planet an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes together they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power,borderlands
although he actually just wanted to steal money the crook denis finds himself in the position of caretaking for the stroke patient raimund when raimunds granddaughter charlotte turns up denis has enough of it and wants to skip but because of an huge blizzard escape is unimaginable,cold feet
determined to prove herself officer judy hopps the first bunny on zootopias police force jumps at the chance to crack her first case  even if it means partnering with scamartist fox nick wilde to solve the mystery,zootopia
as an evil takes over the world beyond their front doorstep the only protection for a mother and her twin sons is their house and their familys protective bond,never let go
a new york stockbroker refuses to cooperate in a large securities fraud case involving corruption on wall street corporate banking world and mob infiltration based on jordan belforts autobiography,the wolf of wall street
in 1930s korea a swindler and a young woman pose as a japanese count and a handmaiden to seduce a japanese heiress and steal her fortune,the handmaiden
after suffering a brutal attack on christmas eve nikki struggles to convince her friends that the assailant was none other than ol kris kringle when santa returns to terrorize the group in their remote cabin the next christmas nikki and her friends must overcome disbelief as they fight to stay alive,santa isnt real
world war ii soldierturnedus marshal teddy daniels investigates the disappearance of a patient from a hospital for the criminally insane but his efforts are compromised by troubling visions and a mysterious doctor,shutter island
a dentist invites a elderly patient to stay at his home to recover unaware that he is a jewel thief he plans to steal a valuable diamond but then runs into a beautiful nurse who aside from constantly stripping nude has plans of her own,night nurse
captain jack sparrow crosses paths with a woman from his past and hes not sure if its love  or if shes a ruthless con artist whos using him to find the fabled fountain of youth when she forces him aboard the queen annes revenge the ship of the formidable pirate blackbeard jack finds himself on an unexpected adventure in which he doesnt know who to fear more blackbeard or the woman from his past,pirates of the caribbean on stranger tides
when tony stark tries to jumpstart a dormant peacekeeping program things go awry and earths mightiest heroes are put to the ultimate test as the fate of the planet hangs in the balance as the villainous ultron emerges it is up to the avengers to stop him from enacting his terrible plans and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure,avengers age of ultron
a woman thrown into the stayathome routine of raising a toddler in the suburbs slowly embraces the feral power deeply rooted in motherhood as she becomes increasingly aware of the bizarre and undeniable signs that she may be turning into a dog,nightbitch
harry ron and hermione walk away from their last year at hogwarts to find and destroy the remaining horcruxes putting an end to voldemorts bid for immortality but with harrys beloved dumbledore dead and voldemorts unscrupulous death eaters on the loose the world is more dangerous than ever,harry potter and the deathly hallows part 1
scientist bruce banner scours the planet for an antidote to the unbridled force of rage within him the hulk but when the military masterminds who dream of exploiting his powers force him back to civilization he finds himself coming face to face with a new deadly foe,the incredible hulk
operating alone in the field for more than 20 years a cia hitman uses the help wanted section of the newspapers to get his orders from the agency his longlost daughter now a uk mi6 analyst tracks him down to deliver shocking news his cia boss has been dead for years and the division long since shut down together they set out to discover whose orders hes been executing,classified
after escaping a calamitous train crash ethan realizes the entity is stashed aboard an old russian submarine but a foe from his past named gabriel is also on the trail,mission impossible  the final reckoning
while struggling with his dual identity arthur fleck not only stumbles upon true love but also finds the music thats always been inside him,joker folie à deux
a recap of death note episodes 2737 with new footage ls successor must ponder ls defeat if he hopes to succeed where his famed predecessor failed at the headquarters of the spk he calls upon the japanese task force to declare war on light,death note relight 2 ls successors
